,Library,Plate,Well,Rate,Type,Column,Row
0,lib3,P1,A01,0.034054527,Variant,1,A
1,lib3,P1,A02,0.355438355,Variant,2,A
2,lib3,P1,A03,0.021718308,Variant,3,A
3,lib3,P1,A04,-0.008276574,Variant,4,A
4,lib3,P1,A05,-0.015386602,Variant,5,A
5,lib3,P1,A06,0.043722438,Variant,6,A
6,lib3,P1,A07,0.028958246,Variant,7,A
7,lib3,P1,A08,-0.00199985,Variant,8,A
8,lib3,P1,A09,0.075157562,Variant,9,A
9,lib3,P1,A10,0.166371635,Parent,10,A
10,lib3,P1,A11,0.278862381,Variant,11,A
11,lib3,P1,A12,0.046813865,Variant,12,A
12,lib3,P1,B01,0.48510072,Variant,1,B
13,lib3,P1,B02,0.014337228,Variant,2,B
14,lib3,P1,B03,0.146262166,Variant,3,B
15,lib3,P1,B04,0.014813459,Variant,4,B
16,lib3,P1,B05,0.176627763,Variant,5,B
17,lib3,P1,B06,0.302286166,Variant,6,B
18,lib3,P1,B07,0.060063802,Variant,7,B
19,lib3,P1,B08,0.106215383,Variant,8,B
20,lib3,P1,B09,0.435867035,Variant,9,B
21,lib3,P1,B10,0.173576786,Parent,10,B
22,lib3,P1,B11,0.047382722,Variant,11,B
23,lib3,P1,B12,0.414035715,Variant,12,B
24,lib3,P1,C01,0.131178984,Variant,1,C
25,lib3,P1,C02,0.031123089,Variant,2,C
26,lib3,P1,C03,0.043199922,Variant,3,C
27,lib3,P1,C04,0.085730334,Variant,4,C
28,lib3,P1,C05,-0.008250617,Variant,5,C
29,lib3,P1,C06,0.288310553,Variant,6,C
30,lib3,P1,C07,0.150222996,Variant,7,C
31,lib3,P1,C08,0.000306243,Variant,8,C
32,lib3,P1,C09,0.255619035,Variant,9,C
33,lib3,P1,C10,0.186758118,Parent,10,C
34,lib3,P1,C11,0.01415183,Variant,11,C
35,lib3,P1,C12,0.157052997,Variant,12,C
36,lib3,P1,D01,0.472949135,Variant,1,D
37,lib3,P1,D02,0.130935102,Variant,2,D
38,lib3,P1,D03,0.116716811,Variant,3,D
39,lib3,P1,D04,0.01813607,Variant,4,D
40,lib3,P1,D05,0.009730246,Variant,5,D
41,lib3,P1,D06,0.230327078,Variant,6,D
42,lib3,P1,D07,0.138553225,Variant,7,D
43,lib3,P1,D08,0.195403744,Variant,8,D
44,lib3,P1,D09,-0.002342238,Variant,9,D
45,lib3,P1,D10,0.188772908,Parent,10,D
46,lib3,P1,D11,0.177782402,Variant,11,D
